track_name,num_playlists,popularity
There's Nothing Holdin' Me Back,4,88
Talking In Your Sleep (2023 Remaster),4,71
JUMPIN (with Lil Uzi Vert),4,78
The Cut That Always Bleeds,4,88
BACKD00R (feat. Kendrick Lamar & Jhené Aiko),3,83
vampire,3,87
Espresso,3,91
Abracadabra,3,88
PIMMIE'S DILEMMA,3,77
Dancing in the Moonlight,3,82
Easy On Me,3,85
As It Was,3,90
ExtraL (feat. Doechii),3,86
You Found Me,3,81
Now Or Never - Bonus Track,3,66
TOP FLOOR (feat. Travis Scott),3,71
She Will Be Loved - Radio Mix,3,86
Give It To Me - Full Vocal Mix,3,82
The Giver,3,89
Headlock,3,90
The Tracks Of My Tears,3,63
a thousand years,3,86
ExtraL (feat. Doechii),3,84
Just In Case,2,89
you look like you love me (feat. Riley Green),2,76
Pretty Slowly,2,83
Drink Don't Need No Mix (feat. BigXthaPlug),2,75
Nowadays (feat. Landon Cube),2,67
Finesse - Remix; feat. Cardi B,2,79
you broke me first,2,86
APT.,2,91
Now & Forever,2,65
Don't Stop Believin' (2022 Remaster),2,88
hey now (feat. dody6),2,82
The Abyss (feat. Lana Del Rey),2,80
Pink Pony Club,2,88
THE GREATEST,2,86
DEVIL YOU KNOW,2,80
Young G.O.A.T,2,77
Hopeless Romantic (feat. Swae Lee),2,68
We Hug Now,2,87
Top Off,1,65
"Honey, Honey - Piano Version",1,42
Because the Night - Piano Version,1,47
"What Is Love - 7"" Mix",1,84
Romantic Homicide,1,58
Dancing Queen - Piano Version,1,51
Relight My Fire - Single Version,1,49
To Be With You - 2021 Remastered,1,69
TOPLINE (Feat. Tiger JK),1,71
The Wind - Remastered 2021,1,66
Top Of The World,1,70
Bloom - Bonus Track,1,78
Lean on Me - Piano Version,1,43
Vagabundo,1,83
Vancouver,1,72
edamame,1,80
Tessellate,1,61
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,1,82
Water,1,78
Three Little Birds - Piano Version,1,44
Unholy (feat. Kim Petras) - ACRAZE Remix,1,62
Your Song - Piano Version,1,49
CINEMA (Lee Know & Seungmin),1,76
You Make It Easy,1,79
Venus,1,78
PHILLY (with Travis Scott),1,68
they’re all around us,1,63
With The Mandem,1,38
Von dutch,1,84
everything i wanted,1,85
POP OUT,1,79
What They Want,1,73
Doot Doot (6 7) (Bonus Track),1,66
Top Flame,1,65
Je te laisserai des mots,1,85
Gimme! Gimme! Gimme! (A Man After Midnight) - Piano Version,1,41
Only Time Will Tell,1,61
Top Class / Overseas,1,65
Truman (HAN & Felix),1,80
Mamma Mia - Piano Version,1,42
Burnin’ Tires (Changbin & I.N),1,76
Where My Girls At,1,64
Let's Get It Started - Spike Mix,1,77
You’re Gonna Go Far,1,84
Now We're Strangers,1,76
Awesome as I Want to Be,1,55
Top,1,65
Spinnin (feat. Nemzzz) - Segway Remix,1,77
Vanish Into You,1,84
Now You're Gone (feat. DJ Mental Theo's Bazzheadz) - Video Edit,1,70
STILL IN THE PAINT (with LAZER DIM 700 & Bktherula),1,68
JUMPIN (with Lil Uzi Vert),1,67
A Bar Song (Tipsy),1,85
Track Star,1,55
Now Or Never,1,73
September,1,36
Every Night White Noise,1,84
ESCAPE (Bang Chan & Hyunjin),1,79
Minato UK Drill (Obito and Third Hokage Diss),1,53
Imagine - Piano Version,1,45
Butterfly 2021,1,52
Ring Ring - Piano Version,1,43
EoO,1,94
On Top Of The World,1,59
Track X,1,55
EVIL J0RDAN,1,71
Mixed Personalities (feat. Kanye West),1,71
GIANT (Korean Ver.),1,73
You're The One That I Want - Piano Version,1,43
Top (feat. Pi'erre Bourne),1,61
Romanticism,1,54
POP OUT,1,69
Cold Heart - PNAU Remix,1,71
The Model - Piano Version,1,44
